Date;26 - Average preset time deposits rate (CDB/RDB) - Financial institutions - % p.d.
08/06/2000;0.0655
09/06/2000;0.0665
12/06/2000;0.0664
13/06/2000;0.0662
14/06/2000;0.0670
15/06/2000;0.0660
16/06/2000;0.0664
19/06/2000;0.0662
20/06/2000;0.0659
21/06/2000;0.0633
23/06/2000;0.0631
26/06/2000;0.0636
27/06/2000;0.0629
28/06/2000;0.0626
29/06/2000;0.0618
30/06/2000;0.0621
03/07/2000;0.0626
04/07/2000;0.0624
05/07/2000;0.0621
06/07/2000;0.0619
07/07/2000;0.0617
10/07/2000;0.0616
11/07/2000;0.0617
12/07/2000;0.0617
13/07/2000;0.0619
14/07/2000;0.0618
17/07/2000;0.0616
18/07/2000;0.0613
19/07/2000;0.0616
20/07/2000;0.0600
21/07/2000;0.0597
24/07/2000;0.0600
25/07/2000;0.0602
26/07/2000;0.0600
27/07/2000;0.0597
28/07/2000;0.0605
31/07/2000;0.0593
01/08/2000;0.0598
02/08/2000;0.0595
03/08/2000;0.0600
04/08/2000;0.0595
07/08/2000;0.0596
08/08/2000;0.0596
09/08/2000;0.0593
10/08/2000;0.0594
11/08/2000;0.0594
14/08/2000;0.0596
15/08/2000;0.0588
16/08/2000;0.0592
17/08/2000;0.0603
18/08/2000;0.0604
21/08/2000;0.0600
22/08/2000;0.0600
23/08/2000;0.0608
24/08/2000;0.0607
25/08/2000;0.0591
28/08/2000;0.0597
29/08/2000;0.0595
30/08/2000;0.0596
31/08/2000;0.0601
01/09/2000;0.0599
04/09/2000;0.0599
05/09/2000;0.0591
06/09/2000;0.0600
08/09/2000;0.0599
11/09/2000;0.0599
12/09/2000;0.0605
13/09/2000;0.0593
14/09/2000;0.0597
15/09/2000;0.0605
18/09/2000;0.0608
19/09/2000;0.0584
20/09/2000;0.0604
21/09/2000;0.0597
22/09/2000;0.0614
25/09/2000;0.0598
26/09/2000;0.0586
27/09/2000;0.0596
28/09/2000;0.0584
29/09/2000;0.0603
02/10/2000;0.0603
03/10/2000;0.0600
04/10/2000;0.0605
05/10/2000;0.0595
06/10/2000;0.0592
09/10/2000;0.0598
10/10/2000;0.0586
11/10/2000;0.0599
13/10/2000;0.0603
16/10/2000;0.0608
17/10/2000;0.0599
18/10/2000;0.0606
19/10/2000;0.0609
20/10/2000;0.0615
23/10/2000;0.0618
24/10/2000;0.0620
25/10/2000;0.0617
26/10/2000;0.0619
27/10/2000;0.0621
30/10/2000;0.0595
31/10/2000;0.0581
01/11/2000;0.0615
03/11/2000;0.0606
06/11/2000;0.0617
07/11/2000;0.0588
08/11/2000;0.0602
09/11/2000;0.0607
10/11/2000;0.0574
13/11/2000;0.0612
14/11/2000;0.0608
16/11/2000;0.0600
17/11/2000;0.0604
20/11/2000;0.0603
21/11/2000;0.0605
22/11/2000;0.0591
23/11/2000;0.0603
24/11/2000;0.0593
27/11/2000;0.0605
28/11/2000;0.0569
29/11/2000;0.0574
30/11/2000;0.0599
01/12/2000;0.0593
04/12/2000;0.0605
05/12/2000;0.0568
06/12/2000;0.0600
07/12/2000;0.0598
08/12/2000;0.0584
11/12/2000;0.0598
12/12/2000;0.0597
13/12/2000;0.0592
14/12/2000;0.0594
15/12/2000;0.0595
18/12/2000;0.0589
19/12/2000;0.0593
20/12/2000;0.0593
21/12/2000;0.0582
22/12/2000;0.0580
26/12/2000;0.0583
27/12/2000;0.0590
28/12/2000;0.0584
29/12/2000;0.0560
02/01/2001;0.0593
03/01/2001;0.0581
04/01/2001;0.0585
05/01/2001;0.0576
08/01/2001;0.0578
09/01/2001;0.0572
10/01/2001;0.0568
11/01/2001;0.0572
12/01/2001;0.0566
15/01/2001;0.0562
16/01/2001;0.0572
17/01/2001;0.0552
18/01/2001;0.0561
19/01/2001;0.0560
22/01/2001;0.0546
23/01/2001;0.0553
24/01/2001;0.0554
25/01/2001;0.0552
26/01/2001;0.0548
29/01/2001;0.0549
30/01/2001;0.0553
31/01/2001;0.0552
01/02/2001;0.0550
02/02/2001;0.0552
05/02/2001;0.0551
06/02/2001;0.0554
07/02/2001;0.0552
08/02/2001;0.0550
09/02/2001;0.0550
12/02/2001;0.0548
13/02/2001;0.0568
14/02/2001;0.0568
15/02/2001;0.0557
16/02/2001;0.0553
19/02/2001;0.0576
20/02/2001;0.0555
21/02/2001;0.0570
22/02/2001;0.0559
23/02/2001;0.0561
28/02/2001;0.0555
01/03/2001;0.0555
02/03/2001;0.0555
05/03/2001;0.0559
